"movieTitle","movieRating","movieMetascore"
" Gladiator",8.5,6.4
" Chocolat",7.3,6.4
" Wo hu cang long",7.9,9.3
" Erin Brockovich",7.3,7.3
" Traffic",7.7,8.6
" A Beautiful Mind",8.2,7.2
" Gosford Park",7.3,9
" In the Bedroom",7.5,8.6
" The Lord of the Rings: The Fellowship of the Ring",8.8,9.2
" Moulin Rouge!",7.7,6.6
" Chicago",7.2,8.2
" Gangs of New York",7.5,7.2
" The Hours",7.6,8.1
" The Lord of the Rings: The Two Towers",8.7,8.8
" The Pianist",8.5,8.5
" Lost in Translation",7.8,8.9
" Master and Commander: The Far Side of the World",7.4,8.1
" Mystic River",8,8.4
" The Lord of the Rings: The Return of the King",8.9,9.4
" Seabiscuit",7.3,7.2
" The Aviator",7.5,7.7
" Finding Neverland",7.8,6.7
" Ray",7.8,7.3
" Million Dollar Baby",8.1,8.6
" Sideways",7.6,9.4
" Brokeback Mountain",7.7,8.7
" Capote",7.4,8.8
" Good Night, and Good Luck.",7.5,8
" Crash",7.9,6.9
" Munich",7.6,7.4
" Babel",7.5,6.9
" Letters from Iwo Jima",8,8.9
" Little Miss Sunshine",7.9,8
" The Departed",8.5,8.6
" The Queen",7.4,9.1
" Atonement",7.8,8.5
" Juno",7.5,8.1
" Michael Clayton",7.3,8.2
" No Country for Old Men",8.1,9.1
" There Will Be Blood",8.1,9.2
" The Curious Case of Benjamin Button",7.8,7
" Frost/Nixon",7.7,8
" Milk",7.6,8.4
" Slumdog Millionaire",8,8.6
" The Reader",7.6,5.8
" The Hurt Locker",7.6,9.4
" Avatar",7.9,8.3
" The Blind Side",7.7,5.3
" District 9",8,8.1
" An Education",7.3,8.5
" Inglourious Basterds",8.3,6.9
" Precious",7.4,7.9
" A Serious Man",7,7.9
" Up",8.3,8.8
" Up in the Air",7.5,8.3
" The King's Speech",8.1,8.8
" Black Swan",8,7.9
" The Fighter",7.9,7.9
" Inception",8.8,7.4
" The Kids Are All Right",7.1,8.6
" 127 Hours",7.6,8.2
" The Social Network",7.8,9.5
" Toy Story 3",8.4,9.2
" True Grit",7.7,8
" Winter's Bone",7.2,9
" The Artist",8,8.9
" The Descendants",7.4,8.4
" Extremely Loud and Incredibly Close",6.9,4.6
" The Help",8.1,6.2
" Hugo",7.6,8.3
" Midnight in Paris",7.7,8.1
" Moneyball",7.6,8.7
" The Tree of Life",6.7,8.5
" War Horse",7.2,7.2
" Argo",7.8,8.6
" Amour",7.9,9.4
" Beasts of the Southern Wild",7.3,8.6
" Django Unchained",8.5,8.1
" Les Misérables",7.6,6.3
" Life of Pi",8,7.9
" Lincoln",7.4,8.6
" Silver Linings Playbook",7.8,8.1
" Zero Dark Thirty",7.4,9.5
" 12 Years a Slave",8.1,9.7
" American Hustle",7.3,9
" Captain Phillips",7.9,8.3
" Dallas Buyers Club",8,8.4
" Gravity",7.9,9.6
" Her",8,9
" Nebraska",7.8,8.6
" Philomena",7.6,7.6
" The Wolf of Wall Street",8.2,7.5
" Birdman: Or (The Unexpected Virtue of Ignorance)",7.9,8.8
" American Sniper",7.4,7.2
" Boyhood",8,10
" The Grand Budapest Hotel",8.1,8.8
" The Imitation Game",8.1,7.3
" Selma",7.5,8.9
" The Theory of Everything",7.8,7.2
" Whiplash",8.6,8.8
